,,,Stevneuke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Biceps,,,,,,,,0,-,0,,E1RM,KG,,,,,,,,,E1RM,KG,,,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,
,,Biceps,,,,,,,,0,-,0,,,Reps,,,,,,,,,,Reps,,,,,,,,,,,,Benkpress,,0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0
,,,,,,,,,,0,-,0,,,RPE,,,,,,,,,,RPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-,0,,,Sett,1,2,3,4,5,6,7,8,,Sett,1,2,3,4,5,6,7,8,,,,,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8,,,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8
,,,,,,,,,,0,-,0,,E1RM,KG,,,,,,,,,E1RM,KG,,,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,
,,,,,,,,,,0,-,0,,,Reps,,,,,,,,,,Reps,,,,,,,,,,,,Rygg_horisontalt_drag,,0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0
,,,,,,,,,,0,-,0,,,RPE,,,,,,,,,,RPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-,0,,Utøverens kommentar:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hvordan var dagsformen?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hvor utmattende var økta?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hvor restituert føler du deg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hvor mange timer sov du i natt?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hvor stresset føler du deg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1RM,Øvelseskategori,Onsdag,Sett,Reps,RPE,,,%,Vekt,,,Kommentar,"Knebøy, konkstil",Sett,1,2,3,4,5,6,7,8,,Sett,1,2,3,4,5,6,7,8,,,,Dag 3,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8,,Dag 3,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8
